method,dataset,acc,prec,rec,f1,auc,tp,tn,fp,fn,fnr,fpr,tnr,rec_at_fpr_1,rec_at_fpr_01,latency_avg_ms,latency_p99_ms,qps,train_time_sec,model_size_mb,feature_dim,notes
mgsir_xgb_No_L4,dataset1,0.9969,0.9987,0.9929,0.9958,0.9996,2248,3902,3,16,0.0071,0.0008,0.9992,0.9973,0.9934,0.0871,0.1664,11475.21,0.16,0.16,21,
mgsir_xgb_No_L3,dataset1,0.9956,0.9969,0.9912,0.9940,0.9988,2244,3898,7,20,0.0088,0.0018,0.9982,0.9960,0.9907,0.0863,0.1663,11592.47,0.14,0.17,17,
mgsir_xgb_No_L2,dataset1,0.9958,0.9973,0.9912,0.9942,0.9992,2244,3899,6,20,0.0088,0.0015,0.9985,0.9960,0.9854,0.0869,0.1655,11513.67,0.13,0.18,14,
mgsir_xgb_No_L1,dataset1,0.9953,0.9964,0.9907,0.9936,0.9988,2243,3897,8,21,0.0093,0.0020,0.9980,0.9934,0.9894,0.0894,0.1703,11185.05,0.14,0.17,17,
mgsir_xgb_L1_only,dataset1,0.9930,0.9960,0.9850,0.9905,0.9982,2230,3896,9,34,0.0150,0.0023,0.9977,0.9920,0.9832,0.0858,0.1623,11655.18,0.10,0.22,6,
mgsir_xgb_L2_only,dataset1,0.9904,0.9902,0.9837,0.9869,0.9975,2227,3883,22,37,0.0163,0.0056,0.9944,0.9877,0.9545,0.0848,0.1583,11795.44,0.11,0.20,9,
mgsir_xgb_L3_only,dataset1,0.9912,0.9942,0.9819,0.9880,0.9964,2223,3892,13,41,0.0181,0.0033,0.9967,0.9854,0.9178,0.0921,0.2060,10857.79,0.10,0.22,6,
mgsir_xgb_L4_only,dataset1,0.8481,0.9650,0.6082,0.7461,0.7999,1377,3855,50,887,0.3918,0.0128,0.9872,0.5448,0.3776,0.0823,0.1581,12144.99,0.07,0.09,2,
mgsir_xgb_adv_randomcase,dataset1,0.9972,0.9996,0.9929,0.9962,0.9996,2248,3904,1,16,0.0071,0.0003,0.9997,0.9973,0.9938,0.0884,0.1640,11317.49,-1.0,0.16,23,Custom: adv_randomcase
mgsir_xgb_adv_space2comment,dataset1,0.9972,0.9996,0.9929,0.9962,0.9998,2248,3904,1,16,0.0071,0.0003,0.9997,0.9982,0.9947,0.0919,0.2117,10884.27,-1.0,0.16,23,Custom: adv_space2comment
mgsir_xgb_adv_charencode,dataset1,0.9972,0.9996,0.9929,0.9962,0.9996,2248,3904,1,16,0.0071,0.0003,0.9997,0.9973,0.9938,0.0885,0.1949,11302.49,-1.0,0.16,23,Custom: adv_charencode
mgsir_xgb_adv_whitespace,dataset1,0.9972,0.9996,0.9929,0.9962,0.9996,2248,3904,1,16,0.0071,0.0003,0.9997,0.9973,0.9938,0.0831,0.1664,12031.37,-1.0,0.16,23,Custom: adv_whitespace
mgsir_xgb_adv_versioned,dataset1,0.9976,0.9996,0.9938,0.9967,0.9996,2250,3904,1,14,0.0062,0.0003,0.9997,0.9978,0.9943,0.0816,0.1609,12256.79,-1.0,0.16,23,Custom: adv_versioned
mgsir_xgb_adv_symbolic,dataset1,0.9972,0.9996,0.9929,0.9962,0.9996,2248,3904,1,16,0.0071,0.0003,0.9997,0.9973,0.9934,0.0828,0.1604,12079.31,-1.0,0.16,23,Custom: adv_symbolic
mgsir_xgb_adv_equaltolike,dataset1,0.9917,0.9995,0.9779,0.9886,0.9994,2214,3904,1,50,0.0221,0.0003,0.9997,0.9960,0.9801,0.0842,0.1541,11871.03,-1.0,0.16,23,Custom: adv_equaltolike
mgsir_xgb_adv_mix,dataset1,0.9964,0.9996,0.9907,0.9951,0.9995,2243,3904,1,21,0.0093,0.0003,0.9997,0.9973,0.9912,0.0907,0.2378,11021.07,-1.0,0.16,23,Custom: adv_mix
bow_xgb_adv_randomcase,dataset1,0.9942,0.9978,0.9863,0.9920,0.9973,2233,3900,5,31,0.0137,0.0013,0.9987,0.9876,0.9853,0.1003,0.1637,9971.52,-1.0,0.13,5000,Custom: adv_randomcase
bow_xgb_adv_space2comment,dataset1,0.9942,0.9978,0.9863,0.9920,0.9973,2233,3900,5,31,0.0137,0.0013,0.9987,0.9876,0.9853,0.0997,0.1703,10031.16,-1.0,0.13,5000,Custom: adv_space2comment
bow_xgb_adv_charencode,dataset1,0.8616,0.9965,0.6250,0.7682,0.9176,1415,3900,5,849,0.3750,0.0013,0.9987,0.6330,0.5936,0.1022,0.1801,9787.58,-1.0,0.13,5000,Custom: adv_charencode
bow_xgb_adv_whitespace,dataset1,0.9942,0.9978,0.9863,0.9920,0.9973,2233,3900,5,31,0.0137,0.0013,0.9987,0.9876,0.9853,0.0986,0.1700,10137.23,-1.0,0.13,5000,Custom: adv_whitespace
bow_xgb_adv_versioned,dataset1,0.9942,0.9978,0.9863,0.9920,0.9973,2233,3900,5,31,0.0137,0.0013,0.9987,0.9876,0.9853,0.0964,0.1689,10370.49,-1.0,0.13,5000,Custom: adv_versioned
bow_xgb_adv_symbolic,dataset1,0.9663,0.9976,0.9103,0.9520,0.9887,2061,3900,5,203,0.0897,0.0013,0.9987,0.9289,0.8954,0.0985,0.1635,10156.42,-1.0,0.13,5000,Custom: adv_symbolic
bow_xgb_adv_equaltolike,dataset1,0.9943,0.9978,0.9867,0.9922,0.9975,2234,3900,5,30,0.0133,0.0013,0.9987,0.9881,0.9858,0.1662,0.1706,6015.05,-1.0,0.13,5000,Custom: adv_equaltolike
bow_xgb_adv_mix,dataset1,0.9462,0.9974,0.8556,0.9211,0.9736,1937,3900,5,327,0.1444,0.0013,0.9987,0.8750,0.8371,0.0980,0.1699,10201.45,-1.0,0.13,5000,Custom: adv_mix
tfidf_xgb_adv_randomcase,dataset1,0.9937,0.9964,0.9863,0.9913,0.9975,2233,3897,8,31,0.0137,0.0020,0.9980,0.9876,0.9850,0.2081,0.2920,4805.39,-1.0,0.14,13568,Custom: adv_randomcase
tfidf_xgb_adv_space2comment,dataset1,0.9937,0.9964,0.9863,0.9913,0.9975,2233,3897,8,31,0.0137,0.0020,0.9980,0.9876,0.9850,0.2047,0.2721,4884.53,-1.0,0.14,13568,Custom: adv_space2comment
tfidf_xgb_adv_charencode,dataset1,0.8583,0.9943,0.6175,0.7619,0.9498,1398,3897,8,866,0.3825,0.0020,0.9980,0.6223,0.0097,0.2090,0.2961,4783.95,-1.0,0.14,13568,Custom: adv_charencode
tfidf_xgb_adv_whitespace,dataset1,0.9937,0.9964,0.9863,0.9913,0.9975,2233,3897,8,31,0.0137,0.0020,0.9980,0.9876,0.9850,0.2017,0.2752,4957.71,-1.0,0.14,13568,Custom: adv_whitespace
tfidf_xgb_adv_versioned,dataset1,0.9937,0.9964,0.9863,0.9913,0.9975,2233,3897,8,31,0.0137,0.0020,0.9980,0.9876,0.9850,0.2043,0.2749,4894.77,-1.0,0.14,13568,Custom: adv_versioned
tfidf_xgb_adv_symbolic,dataset1,0.9684,0.9962,0.9174,0.9552,0.9887,2077,3897,8,187,0.0826,0.0020,0.9980,0.9333,0.8913,0.1956,0.2558,5113.66,-1.0,0.14,13568,Custom: adv_symbolic
tfidf_xgb_adv_equaltolike,dataset1,0.9942,0.9964,0.9876,0.9920,0.9977,2236,3897,8,28,0.0124,0.0020,0.9980,0.9885,0.9850,0.2021,0.2910,4947.20,-1.0,0.14,13568,Custom: adv_equaltolike
tfidf_xgb_adv_mix,dataset1,0.9447,0.9959,0.8529,0.9189,0.9808,1931,3897,8,333,0.1471,0.0020,0.9980,0.8679,0.6462,0.2014,0.3059,4965.74,-1.0,0.14,13568,Custom: adv_mix
